gene_id,nickname,accession,source,substrate,timepoint_hours,average_intensity,stddev_intensity,sample_count
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET12.5,72,-0.00841666670748964,0.0015679181846502731,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET12.5,96,-0.019490195903927088,0.01010360996619144,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET12.5,120,-0.008318627515109256,0.0029694949408723774,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET25,8,0.008808823418803513,0.005449748383226504,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET25,24,-0.01732352949329652,0.010923356419943098,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET25,48,-0.01431372540537268,0.003758222718505521,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET25,72,-0.01941666644415818,0.017096939635595953,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET25,96,-0.027181372744962573,0.0023055392839722005,8
AR00016,FortunateEffort,AR241010_134,GRASP_241010,BHET25,120,-0.03190196095965803,0.00265485873414647,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET12.5,8,-0.007088235463015735,0.012201449937179547,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET12.5,24,-0.0013529391208066954,0.006348755710880957,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET12.5,48,0.007191176759079099,0.026452459855467736,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET12.5,72,0.017676470975857228,0.022118936056010785,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET12.5,96,0.009046568535268307,0.028779018050796593,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET12.5,120,0.021799019625177607,0.03141636592012739,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET25,8,0.007499999905121513,0.00401938254573075,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET25,24,-0.008249999984400347,0.002808154275130871,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET25,48,0.00014950978220440447,0.011944204874499209,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET25,72,0.006879901862703264,0.02039844080201725,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET25,96,0.010745097795734182,0.0390587610523574,8
AR00017,PerkyDesigner,AR241010_142,GRASP_241010,BHET25,120,0.014338235745526617,0.03507011408991773,8
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET12.5,8,0.023757352959364653,0.03350376781982325,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET12.5,24,0.11611274629831314,0.06707012595959531,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET12.5,48,0.12818995187990367,0.09062526916653577,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET12.5,72,0.1471617640927434,0.06341375294270057,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET12.5,96,0.1655036760494113,0.053507600018991325,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET12.5,120,0.16290808748453856,0.07171834881729118,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET25,8,0.03703431400936097,0.03161039650457607,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET25,24,0.12567156902514398,0.07663109988890165,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET25,48,0.11845588311553001,0.12067104907646342,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET25,72,0.15957843139767647,0.08789123123679064,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET25,96,0.17221446055918932,0.0916145168255465,16
AR00018,EminentWorld,AR241010_152,GRASP_241010,BHET25,120,0.16354044247418642,0.08365737807201153,16
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET12.5,8,-0.00560784328263253,0.014340093049298555,8
AR00019,InconsequentialMedium,AR241010_154,GRASP_241010,BHET12.5,24,-0.004605392212397419,0.006649635797093434,8
